sigma_w,run_id,seed,recovered_turing,kstar_fft_rel_err,kstar_rel_err,morphology_match,morphology_scored,rollout_patterned,rollout_status,turing_volume_1pct,turing_volume_4p8pct,turing_volume_10pct,turing_volume_20pct
0.0,nc1_m3_registry_20260819_132247_seed0,0,True,0.0502526009976745,0.010234675610866082,True,compared,True,ok,1.0,1.0,1.0,0.915
0.0,nc1_m3_registry_20260819_132247_seed1,1,True,0.01082432936474368,0.05217404522096748,True,compared,True,ok,1.0,1.0,1.0,0.985
0.0,nc1_m3_registry_20260819_132247_seed2,2,True,0.01082432936474368,0.05217404522096748,True,compared,True,ok,1.0,1.0,1.0,0.93
0.0,nc1_m3_registry_20260819_132247_seed4,4,True,0.030538465181208996,0.031204360415916885,True,compared,True,ok,1.0,1.0,1.0,0.98
0.0,nc1_m3_registry_20260819_132247_seed3,3,True,0.030538465181208996,0.031204360415916885,,target_only,False,unpatterned,1.0,1.0,0.995,0.86
0.0,nc1_m3_registry_20260819_132247_seed6,6,True,0.06996673681413981,0.010735009194184516,True,compared,True,ok,1.0,1.0,0.995,0.935
0.0,nc1_m3_registry_20260819_132247_seed7,7,True,0.02860394226818714,0.09411341483106889,True,compared,True,ok,1.0,1.0,1.0,0.965
0.0,nc1_m3_registry_20260819_132247_seed5,5,True,0.0502526009976745,0.010234675610866082,True,compared,True,ok,1.0,1.0,1.0,0.935
0.048,nc1_m3_registry_20260819_160252_seed2,2,False,0.030538465181208996,0.031204360415916885,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.048,nc1_m3_registry_20260819_160252_seed1,1,True,0.08774634971758327,0.1570224692462209,True,compared,True,ok,1.0,1.0,1.0,1.0
0.048,nc1_m3_registry_20260819_160252_seed0,0,True,0.06803221390111797,0.13605278444117028,True,compared,True,ok,1.0,1.0,1.0,1.0
0.048,nc1_m3_registry_20260819_160252_seed4,4,True,0.02860394226818714,0.09411341483106889,True,compared,True,ok,1.0,1.0,1.0,0.99
0.048,nc1_m3_registry_20260819_160252_seed3,3,True,0.0502526009976745,0.010234675610866082,False,compared,True,ok,1.0,1.0,1.0,0.96
0.048,nc1_m3_registry_20260819_160252_seed6,6,True,0.10746048553404879,0.1779921540512717,True,compared,True,ok,1.0,1.0,0.955,0.79
0.048,nc1_m3_registry_20260819_160252_seed7,7,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.048,nc1_m3_registry_20260819_160252_seed5,5,True,0.030538465181208996,0.031204360415916885,,target_only,False,unpatterned,1.0,1.0,1.0,0.995
0.10,nc1_m3_registry_20260819_160610_seed1,1,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.10,nc1_m3_registry_20260819_160610_seed3,3,False,0.1271746213505141,0.1989618388563223,,target_only,False,unpatterned,0.0,0.005,0.105,0.305
0.10,nc1_m3_registry_20260819_160610_seed0,0,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.10,nc1_m3_registry_20260819_160610_seed2,2,False,0.26517357206577186,0.3457496324916771,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.10,nc1_m3_registry_20260819_160610_seed4,4,False,0.02860394226818714,0.09411341483106889,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.10,nc1_m3_registry_20260819_160610_seed5,5,True,0.1271746213505141,0.1989618388563223,,target_only,False,unpatterned,1.0,1.0,0.98,0.88
0.10,nc1_m3_registry_20260819_160610_seed7,7,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.10,nc1_m3_registry_20260819_160610_seed6,6,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed1,1,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed3,3,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed2,2,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed0,0,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed5,5,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed4,4,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed7,7,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
0.20,nc1_m3_registry_20260819_161126_seed6,6,False,0.976816984371548,0.9753405102265159,,target_only,False,unpatterned,0.0,0.0,0.0,0.0
