ds,key,morph,topology,mean_from_DC,frame_mean,var_from_power,frame_var,cv,x_star_ch,sigma_max,k_star
three_gene_test,sample_0000,spots,cross_repress,0.130408,0.13040802,0.0021151027,0.002115103,0.3526642620563507,0.1188953401959285,0.17139505981371173,0.632624641833811
three_gene_test,sample_0001,spots,relay_chain,0.07653219,0.07653219,0.0040661297,0.0040661297,0.8331946134567261,0.06809647359828212,0.22001237359536852,0.42208309455587395
three_gene_test,sample_0002,spots,double_inhibitor,0.16690266,0.16690266,0.05149382,0.051493824,1.3596099615097046,0.1443957852899438,0.06220343886773971,0.18146418338108883
three_gene_test,sample_0003,labyrinth,double_inhibitor,0.22632794,0.22632796,0.0013745719,0.0013745719,0.16381193697452545,0.2186219670078258,0.0278484386401852,0.3017736389684814
three_gene_test,sample_0004,spots,double_inhibitor,0.14925534,0.14925534,0.012275242,0.012275243,0.7423097491264343,0.16021125974584105,0.2581644769259214,0.36192836676217766
three_gene_test,sample_0005,spots,double_inhibitor,0.04735563,0.047355633,0.0041382974,0.0041382974,1.358436107635498,0.2246523636140044,0.325368629351086,0.22156733524355304
three_gene_test,sample_0006,spots,double_inhibitor,0.054874975,0.05487497,0.004029037,0.0040290374,1.156714916229248,0.11037132859296696,1.1160590636548073,0.7830114613180517
three_gene_test,sample_0007,spots,double_inhibitor,0.06944383,0.06944383,0.00030735228,0.00030735228,0.25245535373687744,0.07335529907147835,0.05159499173579363,0.5423925501432665
three_gene_test,sample_0008,labyrinth,relay_chain,0.24117841,0.24117841,0.0004646201,0.00046462013,0.089373879134655,0.2418399686993081,0.018033115872119865,0.36192836676217766
three_gene_test,sample_0009,labyrinth,substrate_depl,0.21016866,0.21016866,0.0026417142,0.0026417146,0.24455413222312927,0.2025977428336553,0.10164431062514634,0.1914899713467049
three_gene_test,sample_0010,labyrinth,relay_chain,0.42189005,0.42189008,0.040033184,0.040033188,0.47425377368927,0.33447329648314655,0.4989338935398173,0.5123151862464184
three_gene_test,sample_0011,spots,double_inhibitor,0.2740657,0.2740657,0.062150672,0.062150672,0.9096372127532959,0.30054979385950636,0.6432627437841614,0.3819799426934098
three_gene_test,sample_0012,labyrinth,substrate_depl,0.1658026,0.1658026,0.0011576408,0.0011576408,0.20520862936973572,0.1641517566580722,0.016835142476316622,0.48223782234957024
three_gene_test,sample_0013,spots,relay_chain,0.08937675,0.08937675,0.012045701,0.0120457,1.227980613708496,0.10739646994829302,0.1420164305016549,0.20151575931232094
three_gene_test,sample_0014,stripes,selfinhib,0.57595086,0.57595086,0.030503968,0.030503972,0.30324438214302063,0.4461360942976104,0.07312811699083699,0.4421346704871061
three_gene_test,sample_0015,stripes,cross_repress,0.7417339,0.74173385,0.16756894,0.16756897,0.5518851280212402,0.8118733186123682,0.1960335986416446,0.6025472779369628
three_gene_test,sample_0016,labyrinth,relay_chain,0.63370407,0.63370407,0.1724728,0.17247279,0.6553507447242737,0.7394447126681429,0.02292427874978209,0.24161891117478512
three_gene_test,sample_0017,labyrinth,relay_chain,0.14712359,0.14712359,0.011392691,0.011392692,0.72548907995224,0.1970215901206624,0.06298701613889035,0.1914899713467049
three_gene_test,sample_0018,labyrinth,substrate_depl,0.0787225,0.0787225,0.0025107393,0.0025107393,0.6365051865577698,0.07990945397388183,0.3668864983545639,0.5925214899713468
three_gene_test,sample_0019,labyrinth,cross_repress,0.35886082,0.35886082,0.09807958,0.09807959,0.872696578502655,0.5177793847334082,0.1876738281955106,0.39200573065902583
three_gene_train,sample_0000,stripes,substrate_depl,0.11596494,0.11596496,0.0012981911,0.001298191,0.310700923204422,0.12064546701449844,0.322896610175853,0.9434240687679084
three_gene_train,sample_0001,spots,selfinhib,0.09016414,0.09016415,0.0075289584,0.007528959,0.9623512029647827,0.1816462132240601,0.09492864908456917,0.3017736389684814
three_gene_train,sample_0002,spots,substrate_depl,0.07080006,0.07080006,0.0005390529,0.000539053,0.3279307186603546,0.07953581747939245,0.5871986740747652,0.642650429799427
three_gene_train,sample_0003,spots,cross_repress,0.043690875,0.04369088,0.0021318556,0.0021318558,1.0567885637283325,0.04630392927353472,1.5269025077883853,0.5724699140401147
three_gene_train,sample_0004,labyrinth,double_inhibitor,0.32535055,0.32535055,0.079002626,0.07900263,0.8639114499092102,0.3481164596638309,0.45876356773501215,0.3519025787965616
three_gene_train,sample_0005,labyrinth,cross_repress,0.8998421,0.89984214,0.67833805,0.67833805,0.9152858853340149,1.1193341320663597,0.3685824479529396,0.3519025787965616
